མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,719,2,1,《པེ་》《སྣར་》,ལེའུ་བཅོ་བརྒྱད་པའི་འགྲེལ་པ་བཞུགས་སོ།།,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།
,,139,6,《པེ་》《སྣར་》,p ཀྱི།,
,,140,7,《པེ་》《སྣར་》,པ་བསྟན་ཏོ།,
,,141,8,《པེ་》《སྣར་》,འཕྲོག,
,,142,9,《པེ་》《སྣར་》,p པ།,
,,143,10,《པེ་》《སྣར་》,m པ།,
,,144,11,《པེ་》《སྣར་》,མི་བསྐྱོད།,
,,145,12,《པེ་》《སྣར་》,m བདག་བསྲུང་བ་དང་།,
,744,146,1,《པེ་》《སྣར་》,སྒོ་བཞི་བསྒོམ།,
,,147,2,《པེ་》《སྣར་》,ཡིས།,
,,148,3,《པེ་》《སྣར་》,འཇིག,
,,149,4,《པེ་》《སྣར་》,པ།,
,,150,5,《པེ་》《སྣར་》,འཇོམ།,
,745,151,1,《པེ་》《སྣར་》,བྱ་སྟེ།,
,,152,2,《པེ་》《སྣར་》,m པ།,
,,153,3,《པེ་》《སྣར་》,བརླབས།,
,746,154,1,《པེ་》《སྣར་》,ན།,
,,155,2,《པེ་》《སྣར་》,བ།,
,,156,3,《པེ་》《སྣར་》,m དང་།,
,,157,4,《པེ་》《སྣར་》,བརླབས།,
,,158,5,《པེ་》《སྣར་》,བསླབ།,
,,159,6,《པེ་》《སྣར་》,སྒྲུབ།,
,,160,7,《པེ་》《སྣར་》,ལག,
,747,161,1,《པེ་》《སྣར་》,རླུང་།,
,,162,2,《པེ་》《སྣར་》,p བ།,
,,163,༣ ༤,《པེ་》《སྣར་》,p ནི།,
,748,164,1,《པེ་》《སྣར་》,ན།,
,,165,2,《པེ་》《སྣར་》,ནི།,
,,166,3,《པེ་》《སྣར་》,སྐྱེད།,
,,167,4,《པེ་》《སྣར་》,དོན།,
,749,168,1,《པེ་》《སྣར་》,m པར་བགྱིད།,
,,169,2,《པེ་》《སྣར་》,m མེད་པ།,
,,170,3,《པེ་》《སྣར་》,m སྒྲ་སྙན་ཆུ་བོའི་སྤྲིན་རྣམས་ཀྱི། །,
,,171,4,《པེ་》《སྣར་》,ཡི།,
,750,172,1,《པེ་》《སྣར་》,བས།,
,,173,2,《པེ་》《སྣར་》,བར།,
,,174,3,《པེ་》《སྣར་》,རྒྱུ་བའི།,
,,175,4,《པེ་》《སྣར་》,ཀྱི།,
,751,176,1,《པེ་》《སྣར་》,p གནས་པ།,
,,177,2,《པེ་》《སྣར་》,སྟོབས་ཀྱིའམ་ནི།,
,,178,3,《པེ་》《སྣར་》,སྦྱིན།,
,,179,4,《པེ་》《སྣར་》,m དེ་ཡི།,
,,180,5,《པེ་》《སྣར་》,ཤིང་།,
,,181,6,《པེ་》《སྣར་》,བྱ་སྟེ།,
,752,182,1,《པེ་》《སྣར་》,p སུ།,
,,183,2,《པེ་》《སྣར་》,m ཞེས།,
,,184,3,《པེ་》《སྣར་》,སྔ་མཇོམས།,
,,185,4,《པེ་》《སྣར་》,m པ།,
,,186,5,《པེ་》《སྣར་》,པ།,
,,187,6,《པེ་》《སྣར་》,གཉན།,
,,188,7,《པེ་》《སྣར་》,སྟེ།,
,,189,8,《པེ་》《སྣར་》,གྱི།,
,753,190,1,《པེ་》《སྣར་》,པ་ནི།,
,,191,2,《པེ་》《སྣར་》,ཀྱིས།,
,,192,3,《པེ་》《སྣར་》,དོ་ཞེས།,
,,193,4,《པེ་》《སྣར་》,m ནི།,
,,194,5,《པེ་》《སྣར་》,རིག,
,,195,6,《པེ་》《སྣར་》,རྣམ་འབྱོར་སྤྱོད།,
,,196,7,《པེ་》《སྣར་》,དང་འཛིན་པ་ནི།,
,,197,8,《པེ་》《སྣར་》,p བ།,
,754,198,1,《པེ་》《སྣར་》,སྨྲ།,
,,199,2,《པེ་》《སྣར་》,རྒྱང་པན།,
,,200,3,《པེ་》《སྣར་》,m ཡིན།,
,,201,4,《པེ་》《སྣར་》,ཡེ་ཤེས།,
,,202,5,《པེ་》《སྣར་》,p རིན་ཆེན་འབྱུང་ལྡན་གྱི་ཡེ་ཤེས་བྱ་བའི་བར་དུའོ།།,
,,203,6,《པེ་》《སྣར་》,གཞིའོ།,
,,204,7,《པེ་》《སྣར་》,གིས།,
,,205,8,《པེ་》《སྣར་》,པ་ནི།,
,755,206,1,《པེ་》《སྣར་》,p ཀྱིས།,
,,207,2,《སྣར་》,དེ་ངོ་བོའོ།,
,,208,3,《པེ་》《སྣར་》,ནི་ཡེ་ཤེས་ཨ།,
,,209,4,《པེ་》《སྣར་》,གྱིས།,
,,210,5,《པེ་》《སྣར་》,དཔའ།,
,,211,6,《པེ་》《སྣར་》,བཅིང་བའི།,
,756,212,1,《པེ་》《སྣར་》,m ནོར།,
,,213,2,《པེ་》《སྣར་》,པ།,
,,214,3,《པེ་》《སྣར་》,གྱིས།,
,,215,4,《པེ་》《སྣར་》,p ནི།,
,,216,5,《པེ་》《སྣར་》,ཀྱིས།,
,,217,6,《པེ་》《སྣར་》,བྱེད།,
,757,218,1,《པེ་》《སྣར་》,m དེ།,
,,219,2,《པེ་》《སྣར་》,ཀྱི།,
,,220,3,《པེ་》《སྣར་》,གྱི།,
,,221,4,《པེ་》《སྣར་》,བསྲུངས།,
,,222,5,《པེ་》《སྣར་》,p ལ།,
